"","x","freq","RelFreq","Sample"
"1","0",184,0.0365006943066852,"Old"
"2","1",175,0.0347153342590756,"Old"
"3","10",108,0.0214243205713152,"Old"
"4","11",108,0.0214243205713152,"Old"
"5","12",104,0.0206308272168221,"Old"
"6","13",103,0.0204324538781988,"Old"
"7","14",102,0.0202340805395755,"Old"
"8","15",99,0.0196389605237056,"Old"
"9","16",90,0.017853600476096,"Old"
"10","17",86,0.0170601071216029,"Old"
"11","18",85,0.0168617337829796,"Old"
"12","19",84,0.0166633604443563,"Old"
"13","2",164,0.0325332275342194,"Old"
"14","20",84,0.0166633604443563,"Old"
"15","21",82,0.0162666137671097,"Old"
"16","22",82,0.0162666137671097,"Old"
"17","23",79,0.0156714937512398,"Old"
"18","24",79,0.0156714937512398,"Old"
"19","25",78,0.0154731204126165,"Old"
"20","26",77,0.0152747470739933,"Old"
"21","27",77,0.0152747470739933,"Old"
"22","28",74,0.0146796270581234,"Old"
"23","29",73,0.0144812537195001,"Old"
"24","3",152,0.0301527474707399,"Old"
"25","30",72,0.0142828803808768,"Old"
"26","31",69,0.0136877603650069,"Old"
"27","32",62,0.0122991469946439,"Old"
"28","33",61,0.0121007736560206,"Old"
"29","34",60,0.0119024003173973,"Old"
"30","35",60,0.0119024003173973,"Old"
"31","36",58,0.0115056536401508,"Old"
"32","37",57,0.0113072803015275,"Old"
"33","38",56,0.0111089069629042,"Old"
"34","39",57,0.0113072803015275,"Old"
"35","4",143,0.0283673874231303,"Old"
"36","40",53,0.0105137869470343,"Old"
"37","41",51,0.0101170402697877,"Old"
"38","5",137,0.0271771473913906,"Old"
"39","6",137,0.0271771473913906,"Old"
"40","7",131,0.0259869073596509,"Old"
"41","8",122,0.0242015473120413,"Old"
"42","9",122,0.0242015473120413,"Old"
"43",NA,1104,0.219004165840111,"Old"
"44","0",247,0.0344972067039106,"Young"
"45","1",242,0.0337988826815642,"Young"
"46","10",119,0.0166201117318436,"Young"
"47","11",109,0.0152234636871508,"Young"
"48","12",107,0.0149441340782123,"Young"
"49","13",106,0.014804469273743,"Young"
"50","14",106,0.014804469273743,"Young"
"51","15",103,0.0143854748603352,"Young"
"52","16",101,0.0141061452513966,"Young"
"53","17",94,0.0131284916201117,"Young"
"54","18",94,0.0131284916201117,"Young"
"55","19",93,0.0129888268156425,"Young"
"56","2",230,0.032122905027933,"Young"
"57","20",93,0.0129888268156425,"Young"
"58","21",83,0.0115921787709497,"Young"
"59","22",83,0.0115921787709497,"Young"
"60","23",82,0.0114525139664804,"Young"
"61","24",81,0.0113128491620112,"Young"
"62","25",79,0.0110335195530726,"Young"
"63","26",75,0.0104748603351955,"Young"
"64","3",203,0.0283519553072626,"Young"
"65","4",191,0.0266759776536313,"Young"
"66","5",170,0.0237430167597765,"Young"
"67","6",153,0.0213687150837989,"Young"
"68","7",153,0.0213687150837989,"Young"
"69","8",144,0.0201117318435754,"Young"
"70","9",138,0.0192737430167598,"Young"
"71",NA,3681,0.514106145251397,"Young"
